date_received,queue_name,agent_number,answered,consult,transfer,hangup
2014-03-28 08:00:27,20,6935,2014-03-28 08:00:28,NULL,NULL,2014-03-28 08:03:17
2014-03-28 08:00:47,20,8483,2014-03-28 08:00:48,NULL,NULL,2014-03-28 08:05:27
2014-03-28 08:00:51,20,6940,2014-03-28 08:00:52,NULL,NULL,2014-03-28 08:03:47
2014-03-28 08:01:32,20,9345,2014-03-28 08:01:33,NULL,NULL,2014-03-28 08:04:29
2014-03-28 08:01:41,2,8076,2014-03-28 08:01:42,NULL,NULL,2014-03-28 08:04:14
2014-03-28 08:01:41,20,8594,2014-03-28 08:01:42,NULL,NULL,2014-03-28 08:05:52
2014-03-28 08:01:57,5,9512,2014-03-28 08:01:58,NULL,NULL,2014-03-28 08:04:40
2014-03-28 08:02:00,20,9423,2014-03-28 08:02:01,NULL,NULL,2014-03-28 08:02:32
2014-03-28 08:02:00,5,9424,2014-03-28 08:02:01,NULL,NULL,2014-03-28 08:05:58
2014-03-28 08:02:20,20,9425,2014-03-28 08:02:21,NULL,NULL,2014-03-28 08:10:23
2014-03-28 08:02:21,2,8189,2014-03-28 08:02:22,NULL,NULL,2014-03-28 08:05:54
2014-03-28 08:03:00,2,8077,2014-03-28 08:03:01,NULL,NULL,2014-03-28 08:07:24
2014-03-28 08:03:06,20,8861,2014-03-28 08:03:07,NULL,NULL,2014-03-28 08:08:09
2014-03-28 08:03:44,0,9575,2014-03-28 08:03:45,NULL,NULL,2014-03-28 08:11:46
2014-03-28 08:04:00,5,8514,2014-03-28 08:04:01,NULL,NULL,2014-03-28 08:04:22
2014-03-28 08:04:02,20,7823,2014-03-28 08:04:02,2014-03-28 08:05:29,2014-03-28 08:05:48,2014-03-28 08:08:28
2014-03-28 08:04:06,2,7531,2014-03-28 08:04:07,NULL,NULL,2014-03-28 08:14:41
2014-03-28 08:04:14,5,9502,2014-03-28 08:04:15,2014-03-28 08:05:25,2014-03-28 08:05:51,2014-03-28 08:17:27
2014-03-28 08:04:52,20,9423,2014-03-28 08:04:53,NULL,NULL,2014-03-28 08:06:40
2014-03-28 08:04:59,20,6935,2014-03-28 08:05:00,NULL,NULL,2014-03-28 08:16:13
2014-03-28 08:05:10,20,6940,2014-03-28 08:05:11,NULL,NULL,2014-03-28 08:11:53
2014-03-28 08:05:12,20,8076,2014-03-28 08:05:13,NULL,NULL,2014-03-28 08:08:20
2014-03-28 08:05:12,5,6936,2014-03-28 08:05:13,NULL,NULL,2014-03-28 08:09:22
2014-03-28 08:05:20,20,8514,2014-03-28 08:05:21,NULL,NULL,2014-03-28 08:05:58
2014-03-28 08:05:28,2,8483,2014-03-28 08:05:28,NULL,NULL,2014-03-28 08:17:27
2014-03-28 08:06:04,20,9345,2014-03-28 08:06:05,NULL,NULL,2014-03-28 08:10:57
2014-03-28 08:06:16,2,7823,2014-03-28 08:06:17,NULL,NULL,2014-03-28 08:09:33
2014-03-28 08:06:40,20,8594,2014-03-28 08:06:41,NULL,NULL,2014-03-28 08:13:52
2014-03-28 08:07:15,0,9512,2014-03-28 08:07:16,NULL,NULL,2014-03-28 08:12:42
2014-03-28 08:07:19,2,8189,2014-03-28 08:07:20,2014-03-28 08:08:42,2014-03-28 08:08:59,2014-03-28 08:11:24
2014-03-28 08:07:49,20,9424,2014-03-28 08:07:50,NULL,NULL,2014-03-28 08:11:31
2014-03-28 08:07:51,5,9502,2014-03-28 08:07:52,NULL,NULL,2014-03-28 08:09:23
2014-03-28 08:08:06,9,8514,2014-03-28 08:08:07,NULL,NULL,2014-03-28 08:08:35
2014-03-28 08:08:12,5,9423,2014-03-28 08:08:13,2014-03-28 08:09:41,2014-03-28 08:10:05,2014-03-28 08:13:26
2014-03-28 08:08:40,5,8077,2014-03-28 08:08:41,NULL,NULL,2014-03-28 08:09:32
2014-03-28 08:08:48,20,8861,2014-03-28 08:08:49,NULL,NULL,2014-03-28 08:10:21
2014-03-28 08:09:07,2,8076,2014-03-28 08:09:08,NULL,NULL,2014-03-28 08:11:55
2014-03-28 08:09:08,9,8514,2014-03-28 08:09:09,NULL,NULL,2014-03-28 08:09:48
2014-03-28 08:09:43,2,8189,2014-03-28 08:09:44,NULL,NULL,2014-03-28 08:13:26
2014-03-28 08:09:50,2,8077,2014-03-28 08:09:51,NULL,NULL,2014-03-28 08:15:32
2014-03-28 08:10:58,5,9502,2014-03-28 08:10:58,NULL,NULL,2014-03-28 08:14:39
2014-03-28 08:11:20,20,7823,2014-03-28 08:11:21,NULL,NULL,2014-03-28 08:24:14
2014-03-28 08:12:01,5,8514,2014-03-28 08:12:01,NULL,NULL,2014-03-28 08:12:20
2014-03-28 08:12:14,20,9423,2014-03-28 08:12:15,NULL,NULL,2014-03-28 08:17:55
2014-03-28 08:12:50,5,8861,2014-03-28 08:12:51,NULL,NULL,2014-03-28 08:14:39
